"","Special status","Taxon name","Introduced","Taxon family","Taxon parent","Volume"
"2254",NA,"Diphyscium foliosum",NA,"Diphysciaceae","Diphyscium","Volume 27"
"2255",NA,"Diplazium pycnocarpon",NA,"Dryopteridaceae","Diplazium","Volume 2"
"2256",NA,"Distichium capillaceum",NA,"Ditrichaceae","Distichium","Volume 27"
"2257",NA,"Distichium inclinatum",NA,"Ditrichaceae","Distichium","Volume 27"
"2258",NA,"Distichlis",NA,"Poaceae","Poaceae tribe Cynodonteae","Volume 25"
"2259",NA,"Distichlis spicata",NA,"Poaceae","Distichlis","Volume 25"
"2260",NA,"Ditrichum flexicaule",NA,"Ditrichaceae","Ditrichum","Volume 27"
"2261",NA,"Ditrichum gracile",NA,"Ditrichaceae","Ditrichum","Volume 27"
"2262",NA,"Ditrichum lineare",NA,"Ditrichaceae","Ditrichum","Volume 27"
"2263",NA,"Ditrichum pallidum",NA,"Ditrichaceae","Ditrichum","Volume 27"
"2264",NA,"Ditrichum pusillum",NA,"Ditrichaceae","Ditrichum","Volume 27"
"2265",NA,"Doellingeria umbellata var. pubens",NA,"Asteraceae","Doellingeria umbellata","Volume 20"
"2266",NA,"Doellingeria umbellata var. umbellata",NA,"Asteraceae","Doellingeria umbellata","Volume 20"
"2267",NA,"Draba alpina",NA,"Brassicaceae","Draba","Volume 7"
"2268",NA,"Draba arabisans",NA,"Brassicaceae","Draba","Volume 7"
"2269",NA,"Draba aurea",NA,"Brassicaceae","Draba","Volume 7"
"2270",NA,"Draba cana",NA,"Brassicaceae","Draba","Volume 7"
"2271",NA,"Draba cinerea",NA,"Brassicaceae","Draba","Volume 7"
"2272",NA,"Draba glabella",NA,"Brassicaceae","Draba","Volume 7"
"2273",NA,"Draba incana",NA,"Brassicaceae","Draba","Volume 7"
"2274",NA,"Draba nivalis",NA,"Brassicaceae","Draba","Volume 7"
"2275",NA,"Draba reptans",NA,"Brassicaceae","Draba","Volume 7"
"2276",NA,"Drepanocladus longifolius",NA,"Amblystegiaceae","Drepanocladus","Volume 28"
"2277",NA,"Drosera anglica",NA,"Droseraceae","Drosera","Volume 6"
"2278",NA,"Drosera rotundifolia",NA,"Droseraceae","Drosera","Volume 6"
"2279",NA,"Dryopteris carthusiana",NA,"Dryopteridaceae","Dryopteris","Volume 2"
"2280",NA,"Dryopteris clintoniana",NA,"Dryopteridaceae","Dryopteris","Volume 2"
"2281",NA,"Dryopteris cristata",NA,"Dryopteridaceae","Dryopteris","Volume 2"
"2282",NA,"Dryopteris expansa",NA,"Dryopteridaceae","Dryopteris","Volume 2"
