Taxon name
Rosa acicularis subsp. sayi
Rosulabryum elegans
Rubus arcticus subsp. acaulis
Rubus chamaemorus
Rubus idaeus subsp. strigosus
Rumex arcticus
Sagina caespitosa
Sagina nivalis
Sagina nodosa subsp. borealis
Sagina saginoides
Salix alaxensis var. alaxensis
Salix arbusculoides
Salix arctica
Salix arctophila
Salix argyrocarpa
Salix ballii
Salix bebbiana
Salix brachycarpa var. brachycarpa
Salix calcicola var. calcicola
Salix candida
Salix fuscescens
Salix glauca var. cordifolia
Salix glauca var. stipulata
Salix herbacea
Salix myrtillifolia
Salix niphoclada
Salix pedicellaris
Salix planifolia
Salix polaris
Salix pseudomyrsinites
Salix pulchra
Salix reticulata
Salix richardsonii
Salix serissima
Salix silicicola
Salix tyrrellii
Salix uva-ursi
Salix vestita
Sanionia nivalis
Sanionia orthothecioides
Sanionia uncinata
Sarmentypnum exannulatum
Sarmentypnum pseudosarmentosum
Sarmentypnum sarmentosum
Sarmentypnum trichophyllum
Sarmentypnum tundrae
Saussurea angustifolia var. angustifolia
Saxifraga aizoides
Saxifraga cernua
Saxifraga cespitosa
Saxifraga flagellaris subsp. platysepala
Saxifraga hirculus
Saxifraga hyperborea
Saxifraga oppositifolia subsp. oppositifolia
Saxifraga paniculata
Saxifraga rivularis subsp. rivularis
Saxifraga serpyllifolia
Saxifraga tricuspidata
Schistidium flexipile
Schistidium frigidum
Schistidium frisvollianum
Schistidium grandirete
Schistidium holmenianum
Schistidium papillosum
Schistidium pulchrum
Schistidium rivulare
Schistidium tenerum
Schistidium venetum
Scorpidium cossonii
Scorpidium revolvens
Scorpidium scorpioides
Seligeria campylopoda
Seligeria polaris
Seligeria pusilla
Senecio vulgaris
Sibbaldia procumbens
Sibbaldiopsis tridentata
Silene acaulis
Silene involucrata subsp. involucrata
Silene involucrata subsp. tenella
Silene ostenfeldii
Silene suecica
Silene uralensis subsp. ogilviensis
Silene uralensis subsp. uralensis
Solidago multiradiata
Sorbus decora
Sparganium hyperboreum
Sparganium natans
Spergularia canadensis var. canadensis
Sphagnum aongstroemii
Sphagnum balticum
Sphagnum capillifolium
Sphagnum fimbriatum subsp. concinnum
Sphagnum fuscum
Sphagnum girgensohnii
Sphagnum lenense
Sphagnum lindbergii
Sphagnum obtusum
Sphagnum orientale
Sphagnum russowii
Sphagnum squarrosum
Sphagnum steerei
Sphagnum teres
Sphagnum warnstorfii
Spiranthes romanzoffiana
Splachnum ampullaceum
Splachnum vasculosum
Stegonia latifolia var. latifolia
Stegonia latifolia var. pilifera
Stellaria borealis subsp. borealis
Stellaria crassifolia
Stellaria humifusa
Stellaria longipes subsp. longipes
Straminergon stramineum
Stuckenia filiformis subsp. alpina
Stuckenia filiformis subsp. occidentalis
Stuckenia vaginata
Suaeda calceoliformis
Symphyotrichum boreale
Symphyotrichum pygmaeum
Taraxacum ceratophorum
Taraxacum hyparcticum
Taraxacum lapponicum
Taraxacum officinale
Taraxacum phymatocarpum
Taraxacum scopulorum
Tayloria acuminata
Tayloria hornschuchii
Tayloria lingulata
Tayloria splachnoides
Tephroseris frigida
Tephroseris palustris
Tetraplodon angustatus
Tetraplodon mnioides
Tetraplodon pallidus
Tetraplodon paradoxus
Tetraplodon urceolatus
Timmia austriaca
Timmia megapolitana subsp. bavarica
Timmia norvegica var. excurrens
Timmia norvegica var. norvegica
Timmia sibirica
Tofieldia coccinea
Tofieldia pusilla
Tomentypnum falcifolium
Tomentypnum nitens
Tortella fragilis
Tortella tortuosa var. arctica
Tortella tortuosa var. tortuosa
Tortula cernua
Tortula cuneifolia
Tortula hoppeana
Tortula laureri
Tortula leucostoma
Tortula mucronifolia
Tortula muralis
Tortula systylia
Transberingia bursifolia subsp. bursifolia
Trichophorum alpinum
Trichophorum cespitosum
Trichostomum arcticum
Triglochin maritima
Triglochin palustris
Tripleurospermum maritimum subsp. phaeocephalum
Trisetum
Trisetum cernuum
Trisetum spicatum
Ulota curvifolia
Vaccinium cespitosum
Vaccinium oxycoccos
Vaccinium uliginosum
Vaccinium vitis-idaea
Vahlodea
Vahlodea atropurpurea
Veronica alpina
Veronica scutellata
Veronica wormskjoldii subsp. nutans
Veronica wormskjoldii subsp. wormskjoldii
Viola adunca var. adunca
Viola epipsila var. repens
Viola macloskeyi
Viola nephrophylla
Viola palustris
Viola renifolia
Voitia hyperborea
Warnstorfia fluitans
Zostera marina
×arctodupontia
×arctodupontia scleroclada
